OrderID,Category,SubCategory,Region,CustomerSegment,Quantity,UnitPrice,DiscountPercent,TotalRevenue,ShippingCost,Profit,DeliveryDays,Returned
ORD-5070,Office Supplies,Paper,Latin America,Corporate,10,19.72,0.05,187.34,17.99,43.69,6,No
ORD-5071,Furniture,Bookcases,Latin America,Consumer,7,577.05,0.0,4039.35,32.59,422.66,3,No
ORD-5072,Electronics,Laptops,Latin America,Corporate,9,896.52,0.0,8068.68,9.1,2798.12,9,No
ORD-5073,Furniture,Tables,Europe,Consumer,6,112.3,0.1,606.42,5.47,94.01,2,No
ORD-5074,Fashion,Footwear,North America,Corporate,4,162.65,0.0,650.6,37.22,176.13,9,No
ORD-5075,Furniture,Chairs,Latin America,Small Business,5,352.18,0.3,1232.63,35.29,31.17,8,No
ORD-5076,Fashion,Watches,North America,Consumer,9,156.15,0.2,1124.28,16.11,33.26,6,No
ORD-5077,Furniture,Chairs,North America,Small Business,10,71.54,0.1,643.86,12.7,137.87,4,No
ORD-5078,Furniture,Tables,Europe,Consumer,3,219.3,0.0,657.9,31.47,80.12,3,Yes
ORD-5079,Furniture,Bookcases,Asia Pacific,Small Business,7,143.12,0.0,1001.84,38.34,107.84,7,Yes
ORD-5080,Office Supplies,Paper,Europe,Small Business,7,13.14,0.05,87.38,13.47,1.73,2,No
ORD-5081,Furniture,Bookcases,Asia Pacific,Corporate,3,507.54,0.2,1218.1,26.31,78.6,8,No
ORD-5082,Fashion,Watches,Asia Pacific,Corporate,10,73.18,0.3,512.26,36.93,18.84,4,No
ORD-5083,Fashion,Apparel,North America,Small Business,3,227.69,0.05,648.92,34.48,105.65,2,No
ORD-5084,Fashion,Footwear,North America,Small Business,3,146.28,0.05,416.9,36.96,28.96,1,No
ORD-5085,Electronics,Laptops,North America,Corporate,9,502.31,0.1,4068.71,15.45,596.82,3,Yes
ORD-5086,Fashion,Footwear,Europe,Consumer,2,141.54,0.2,226.46,22.69,-1.38,9,Yes
ORD-5087,Office Supplies,Pens,Europe,Small Business,5,79.46,0.1,357.57,6.2,71.42,1,No
ORD-5088,Electronics,Smartphones,North America,Corporate,3,691.5,0.3,1452.15,28.43,-211.32,4,No
ORD-5089,Fashion,Watches,North America,Small Business,10,30.81,0.05,292.69,44.54,18.61,2,No
ORD-5090,Office Supplies,Storage,Asia Pacific,Consumer,2,45.93,0.05,87.27,29.01,5.47,8,No
ORD-5091,Electronics,Laptops,Europe,Corporate,9,574.62,0.0,5171.58,17.56,1061.4,9,No
ORD-5092,Electronics,Smartphones,North America,Consumer,5,801.78,0.15,3407.56,18.81,170.36,6,No
ORD-5093,Office Supplies,Binders,Latin America,Corporate,10,14.22,0.15,120.87,10.97,-0.43,4,No
ORD-5094,Office Supplies,Paper,Asia Pacific,Corporate,3,63.89,0.15,162.92,34.18,4.12,1,No
ORD-5095,Electronics,Accessories,Europe,Consumer,7,557.81,0.2,3123.74,27.33,260.47,1,No
ORD-5096,Furniture,Tables,North America,Consumer,5,493.08,0.0,2465.4,39.61,349.68,9,No
ORD-5097,Electronics,Headphones,Asia Pacific,Small Business,3,510.83,0.15,1302.62,24.94,265.32,9,No
ORD-5098,Furniture,Chairs,Latin America,Corporate,4,143.62,0.0,574.48,10.66,103.75,5,No
ORD-5099,Office Supplies,Pens,Asia Pacific,Consumer,1,23.2,0.15,19.72,35.26,-14.2,9,No
ORD-5100,Electronics,Headphones,Asia Pacific,Consumer,8,791.16,0.15,5379.89,16.67,1204.86,7,No
ORD-5101,Office Supplies,Storage,North America,Consumer,7,64.15,0.3,314.34,32.03,-34.26,3,No
ORD-5102,Electronics,Smartphones,Latin America,Corporate,5,393.62,0.1,1771.29,39.52,229.52,9,No
ORD-5103,Electronics,Laptops,North America,Corporate,4,518.24,0.2,1658.37,25.75,228.86,5,No
ORD-5104,Fashion,Apparel,Asia Pacific,Consumer,5,179.54,0.0,897.7,44.73,124.55,4,No
ORD-5105,Furniture,Bookcases,Europe,Small Business,5,377.05,0.3,1319.67,9.89,44.45,3,No
ORD-5106,Fashion,Bags,North America,Small Business,1,161.45,0.05,153.38,14.64,4.07,4,No
ORD-5107,Furniture,Sofas,Asia Pacific,Consumer,1,536.49,0.0,536.49,33.93,167.86,9,No
ORD-5108,Office Supplies,Pens,North America,Corporate,9,69.38,0.2,499.54,33.81,17.25,1,Yes
ORD-5109,Furniture,Tables,North America,Consumer,10,117.64,0.15,999.94,9.48,-9.26,9,No
ORD-5110,Furniture,Sofas,Asia Pacific,Corporate,8,202.5,0.1,1458.0,37.92,219.48,7,No
ORD-5111,Furniture,Sofas,Asia Pacific,Small Business,6,132.32,0.0,793.92,8.05,189.7,2,No
ORD-5112,Office Supplies,Paper,Asia Pacific,Consumer,4,34.78,0.15,118.25,18.72,-11.38,3,No
ORD-5113,Fashion,Footwear,Europe,Small Business,3,236.86,0.2,568.46,29.08,-34.41,4,No
ORD-5114,Fashion,Apparel,North America,Corporate,1,181.47,0.3,127.03,16.76,-9.2,7,Yes
ORD-5115,Office Supplies,Paper,Asia Pacific,Consumer,8,75.17,0.15,511.16,22.41,79.72,1,No
ORD-5116,Electronics,Smartphones,Europe,Corporate,1,847.41,0.05,805.04,39.99,28.24,4,No
ORD-5117,Fashion,Apparel,North America,Corporate,3,179.1,0.0,537.3,17.82,143.96,2,No
ORD-5118,Furniture,Bookcases,Asia Pacific,Corporate,1,501.39,0.2,401.11,27.01,4.35,2,No
ORD-5119,Fashion,Footwear,Europe,Small Business,5,90.34,0.0,451.7,9.63,69.36,9,Yes
ORD-5120,Fashion,Footwear,Asia Pacific,Corporate,4,132.3,0.3,370.44,41.51,-2.19,9,Yes
ORD-5121,Electronics,Laptops,Europe,Small Business,6,568.48,0.0,3410.88,7.14,884.3,8,No
ORD-5122,Electronics,Smartphones,Asia Pacific,Small Business,10,648.49,0.1,5836.41,16.43,279.88,1,No
ORD-5123,Fashion,Watches,Europe,Corporate,10,183.89,0.2,1471.12,42.7,32.35,7,No
ORD-5124,Fashion,Apparel,Asia Pacific,Consumer,9,201.29,0.2,1449.29,20.36,248.41,4,Yes
ORD-5125,Electronics,Headphones,North America,Small Business,5,529.75,0.05,2516.31,43.13,688.44,2,No
ORD-5126,Furniture,Bookcases,Europe,Corporate,7,364.51,0.0,2551.57,21.31,677.63,9,No
ORD-5127,Fashion,Apparel,Latin America,Corporate,1,169.44,0.05,160.97,34.97,5.9,4,No
ORD-5128,Furniture,Bookcases,Asia Pacific,Small Business,4,545.2,0.2,1744.64,10.54,278.78,1,No
ORD-5129,Electronics,Headphones,Latin America,Small Business,2,884.17,0.3,1237.84,27.65,-64.01,1,No
ORD-5130,Furniture,Sofas,Asia Pacific,Small Business,3,294.44,0.1,794.99,8.74,114.69,7,No
ORD-5131,Electronics,Laptops,North America,Small Business,8,735.52,0.0,5884.16,31.88,1547.32,3,No
ORD-5132,Office Supplies,Storage,North America,Corporate,4,63.29,0.15,215.19,26.66,-5.29,5,No
ORD-5133,Office Supplies,Paper,North America,Consumer,8,61.42,0.0,491.36,5.26,150.26,7,No
ORD-5134,Fashion,Apparel,North America,Consumer,7,138.38,0.0,968.66,8.25,124.76,6,No
ORD-5135,Electronics,Smartphones,North America,Corporate,9,88.15,0.3,555.35,16.17,-51.39,2,No
ORD-5136,Fashion,Bags,Europe,Small Business,9,69.08,0.2,497.38,42.98,29.24,3,Yes
ORD-5137,Office Supplies,Binders,Asia Pacific,Corporate,1,72.18,0.15,61.35,22.71,-6.88,3,Yes
ORD-5138,Fashion,Footwear,Latin America,Corporate,3,159.17,0.1,429.76,5.78,90.36,8,No
ORD-5139,Fashion,Bags,North America,Consumer,10,182.34,0.2,1458.72,7.67,186.55,1,No
ORD-5140,Office Supplies,Paper,Europe,Consumer,4,39.04,0.0,156.16,42.49,35.73,6,No
ORD-5141,Furniture,Tables,Asia Pacific,Corporate,2,312.28,0.0,624.56,23.57,75.09,3,No
ORD-5142,Electronics,Laptops,North America,Corporate,2,228.23,0.15,387.99,14.52,32.44,6,No
ORD-5143,Fashion,Watches,Latin America,Consumer,4,74.11,0.0,296.44,40.66,51.09,5,No
ORD-5144,Electronics,Laptops,Asia Pacific,Consumer,3,783.15,0.1,2114.51,25.41,545.38,2,No
ORD-5145,Office Supplies,Paper,Europe,Corporate,4,56.15,0.0,224.6,20.93,41.99,3,No
ORD-5146,Fashion,Footwear,Europe,Consumer,1,212.64,0.3,148.85,8.69,-7.54,9,No
ORD-5147,Furniture,Bookcases,Latin America,Consumer,10,354.91,0.3,2484.37,38.19,113.38,8,Yes
ORD-5148,Fashion,Footwear,Europe,Consumer,9,64.87,0.3,408.68,44.84,-38.26,6,Yes
ORD-5149,Fashion,Apparel,Latin America,Small Business,10,147.53,0.3,1032.71,22.15,15.72,2,No
ORD-5150,Fashion,Bags,Europe,Corporate,9,200.47,0.05,1714.02,39.4,59.96,1,No
ORD-5151,Furniture,Chairs,Europe,Consumer,4,399.75,0.1,1439.1,31.96,20.71,7,No
ORD-5152,Office Supplies,Paper,Asia Pacific,Small Business,8,75.28,0.3,421.57,15.6,-8.88,2,No
ORD-5153,Furniture,Chairs,Europe,Corporate,10,274.88,0.15,2336.48,35.2,494.85,9,No
ORD-5154,Office Supplies,Binders,Latin America,Small Business,10,45.64,0.2,365.12,39.72,48.86,3,Yes
ORD-5155,Office Supplies,Paper,Europe,Small Business,9,37.49,0.3,236.19,28.93,-5.27,9,No
ORD-5156,Office Supplies,Storage,North America,Small Business,2,26.27,0.15,44.66,30.04,-7.68,1,No
ORD-5157,Fashion,Apparel,Asia Pacific,Consumer,4,226.42,0.15,769.83,22.9,59.32,9,No
ORD-5158,Furniture,Chairs,Latin America,Corporate,7,481.33,0.2,2695.45,7.54,238.26,8,No
ORD-5159,Fashion,Footwear,Latin America,Small Business,8,186.67,0.05,1418.69,38.48,90.96,9,No
ORD-5160,Fashion,Apparel,Asia Pacific,Small Business,9,25.15,0.3,158.44,12.45,-3.59,4,No
ORD-5161,Electronics,Headphones,Latin America,Corporate,10,325.41,0.15,2765.99,27.77,-98.87,2,No
ORD-5162,Furniture,Bookcases,Asia Pacific,Corporate,5,158.58,0.2,634.32,20.73,42.63,4,Yes
ORD-5163,Office Supplies,Binders,Europe,Small Business,3,56.26,0.3,118.15,28.04,-21.53,7,No
ORD-5164,Furniture,Chairs,Asia Pacific,Corporate,3,200.79,0.3,421.66,32.22,-43.02,9,No
ORD-5165,Fashion,Footwear,Asia Pacific,Corporate,3,242.94,0.05,692.38,21.15,129.37,4,No
ORD-5166,Office Supplies,Paper,Europe,Small Business,2,47.0,0.15,79.9,19.77,-10.55,8,No
ORD-5167,Fashion,Watches,North America,Small Business,6,195.1,0.3,819.42,16.49,-79.8,1,Yes
ORD-5168,Electronics,Smartphones,North America,Corporate,10,456.45,0.0,4564.5,12.97,1386.6,6,No
ORD-5169,Office Supplies,Paper,North America,Corporate,4,34.59,0.0,138.36,18.01,20.81,6,No
ORD-5170,Furniture,Chairs,Europe,Small Business,3,257.7,0.05,734.44,37.7,108.66,9,No
ORD-5171,Fashion,Bags,Asia Pacific,Consumer,1,240.96,0.1,216.86,43.11,-8.48,2,No
ORD-5172,Electronics,Smartphones,Asia Pacific,Consumer,8,369.32,0.2,2363.65,42.92,-128.39,9,Yes
ORD-5173,Furniture,Sofas,North America,Corporate,6,130.08,0.2,624.38,26.07,84.0,6,No
ORD-5174,Office Supplies,Pens,Latin America,Consumer,6,69.8,0.2,335.04,25.26,34.76,8,No
ORD-5175,Furniture,Tables,Latin America,Small Business,6,335.51,0.3,1409.14,40.73,-135.37,6,No
ORD-5176,Office Supplies,Storage,Asia Pacific,Consumer,9,14.67,0.2,105.62,41.42,2.58,7,Yes
ORD-5177,Electronics,Smartphones,North America,Consumer,5,360.35,0.05,1711.66,28.45,463.04,2,No
ORD-5178,Furniture,Chairs,Asia Pacific,Corporate,2,172.51,0.1,310.52,18.6,-4.61,4,No
ORD-5179,Fashion,Footwear,North America,Corporate,5,88.98,0.2,355.92,25.99,-2.06,8,Yes
ORD-5180,Furniture,Sofas,Latin America,Small Business,8,448.45,0.1,3228.84,30.73,118.22,1,No
ORD-5181,Furniture,Bookcases,Asia Pacific,Consumer,2,343.95,0.05,653.5,33.3,155.34,2,No
ORD-5182,Furniture,Chairs,Europe,Consumer,10,137.33,0.3,961.31,5.28,-76.79,2,Yes
ORD-5183,Electronics,Smartphones,Europe,Corporate,5,461.0,0.05,2189.75,33.7,347.96,1,No
ORD-5184,Fashion,Bags,North America,Small Business,8,64.81,0.05,492.56,40.99,67.15,6,No
ORD-5185,Office Supplies,Storage,Latin America,Consumer,7,16.61,0.2,93.02,42.69,-16.34,2,No
ORD-5186,Fashion,Bags,Europe,Small Business,2,113.31,0.2,181.3,39.76,4.75,2,No
ORD-5187,Fashion,Footwear,Europe,Corporate,4,233.3,0.3,653.24,28.3,-83.01,1,No
ORD-5188,Furniture,Sofas,Europe,Consumer,7,491.68,0.3,2409.23,39.15,-352.11,5,Yes
ORD-5189,Furniture,Tables,Europe,Corporate,6,439.33,0.05,2504.18,36.57,664.1,9,No
ORD-5190,Office Supplies,Storage,Latin America,Consumer,8,59.36,0.15,403.65,34.48,66.24,4,No
ORD-5191,Fashion,Watches,Europe,Consumer,10,99.84,0.1,898.56,28.1,219.99,8,No
ORD-5192,Electronics,Laptops,Latin America,Small Business,10,417.36,0.05,3964.92,27.84,618.64,3,Yes
ORD-5193,Furniture,Sofas,Latin America,Small Business,2,175.69,0.3,245.97,40.82,-33.97,9,No
ORD-5194,Furniture,Tables,North America,Small Business,2,132.75,0.1,238.95,20.89,42.65,1,No
ORD-5195,Furniture,Chairs,North America,Corporate,9,324.03,0.3,2041.39,40.39,-56.93,9,No
ORD-5196,Furniture,Bookcases,Asia Pacific,Consumer,4,404.21,0.15,1374.31,41.97,224.61,1,No
ORD-5197,Office Supplies,Storage,Europe,Corporate,2,66.1,0.2,105.76,17.83,-2.45,6,No
ORD-5198,Furniture,Chairs,North America,Consumer,10,150.44,0.3,1053.08,42.67,27.48,1,Yes
ORD-5199,Furniture,Sofas,Asia Pacific,Small Business,9,164.14,0.2,1181.81,37.93,181.18,7,No
ORD-5200,Fashion,Apparel,North America,Consumer,7,35.89,0.05,238.67,34.27,3.29,3,No
ORD-5201,Fashion,Bags,Latin America,Small Business,3,37.04,0.2,88.9,35.86,-5.29,2,Yes
ORD-5202,Fashion,Apparel,Europe,Consumer,1,52.22,0.3,36.55,6.28,-7.02,6,No
ORD-5203,Fashion,Footwear,Europe,Small Business,4,33.33,0.2,106.66,12.7,-2.66,4,No
ORD-5204,Fashion,Watches,North America,Consumer,5,64.63,0.0,323.15,16.38,88.21,7,No
ORD-5205,Furniture,Bookcases,North America,Small Business,6,590.27,0.05,3364.54,28.85,464.23,1,No
ORD-5206,Furniture,Bookcases,Asia Pacific,Small Business,7,513.41,0.0,3593.87,37.42,986.7,1,No
ORD-5207,Furniture,Bookcases,Europe,Small Business,10,328.14,0.0,3281.4,36.05,450.86,8,No
ORD-5208,Office Supplies,Binders,Latin America,Corporate,9,29.5,0.1,238.95,20.49,41.0,3,No
ORD-5209,Electronics,Headphones,North America,Small Business,3,62.06,0.15,158.25,42.21,-5.16,6,No
ORD-5210,Fashion,Footwear,Latin America,Corporate,1,62.43,0.2,49.94,7.46,2.71,2,No
ORD-5211,Electronics,Accessories,Europe,Consumer,3,779.61,0.2,1871.06,31.0,293.15,6,No
ORD-5212,Furniture,Chairs,Europe,Small Business,5,77.49,0.0,387.45,9.99,91.46,7,No
ORD-5213,Fashion,Watches,Latin America,Corporate,10,39.6,0.15,336.6,28.6,45.84,6,No
ORD-5214,Fashion,Footwear,Europe,Corporate,8,214.36,0.05,1629.14,38.47,160.23,7,Yes
ORD-5215,Electronics,Smartphones,North America,Small Business,2,73.31,0.0,146.62,37.24,26.0,7,No
ORD-5216,Electronics,Accessories,Latin America,Corporate,2,460.53,0.15,782.9,25.65,73.5,9,No
ORD-5217,Office Supplies,Pens,North America,Consumer,10,7.29,0.3,51.03,9.33,-7.17,1,No
ORD-5218,Electronics,Accessories,Latin America,Consumer,4,86.34,0.3,241.75,14.17,-39.15,1,No
ORD-5219,Office Supplies,Pens,Asia Pacific,Consumer,7,18.12,0.3,88.79,12.86,-18.93,7,Yes
ORD-5220,Office Supplies,Pens,Latin America,Small Business,7,49.71,0.15,295.77,6.19,-4.68,1,No
ORD-5221,Furniture,Sofas,Europe,Corporate,5,512.7,0.15,2178.97,22.47,-8.54,6,No
ORD-5222,Furniture,Tables,Latin America,Consumer,1,91.09,0.1,81.98,21.12,0.97,5,No
ORD-5223,Electronics,Smartphones,North America,Consumer,8,546.12,0.3,3058.27,23.69,255.86,1,Yes
ORD-5224,Office Supplies,Binders,North America,Small Business,10,61.8,0.3,432.6,30.24,-49.83,1,No
ORD-5225,Electronics,Headphones,Europe,Consumer,5,565.08,0.2,2260.32,6.52,176.42,8,No
ORD-5226,Fashion,Footwear,North America,Consumer,8,157.82,0.3,883.79,9.81,-46.4,9,No
ORD-5227,Fashion,Apparel,Europe,Consumer,8,89.5,0.0,716.0,24.4,157.91,4,No
ORD-5228,Furniture,Bookcases,Latin America,Consumer,4,457.96,0.2,1465.47,31.79,105.52,2,No
ORD-5229,Electronics,Smartphones,Asia Pacific,Consumer,7,769.38,0.3,3769.96,10.58,-389.25,1,No
ORD-5230,Furniture,Chairs,North America,Corporate,1,514.15,0.3,359.9,31.61,-67.56,5,Yes
ORD-5231,Electronics,Laptops,Asia Pacific,Small Business,10,531.54,0.2,4252.32,25.18,789.89,8,No
ORD-5232,Electronics,Accessories,North America,Small Business,9,473.14,0.2,3406.61,43.58,563.42,9,Yes
ORD-5233,Electronics,Accessories,Asia Pacific,Corporate,9,158.89,0.0,1430.01,23.05,445.02,6,No
ORD-5234,Furniture,Sofas,Asia Pacific,Corporate,1,351.11,0.0,351.11,37.47,37.7,1,No
ORD-5235,Office Supplies,Pens,North America,Consumer,4,33.52,0.0,134.08,16.98,18.53,2,No
ORD-5236,Fashion,Watches,Europe,Small Business,7,150.93,0.2,845.21,11.02,93.7,7,No
ORD-5237,Fashion,Apparel,Asia Pacific,Consumer,10,104.79,0.3,733.53,9.72,57.93,2,No
ORD-5238,Office Supplies,Pens,North America,Corporate,9,53.17,0.05,454.6,24.5,91.14,9,No
ORD-5239,Office Supplies,Pens,Asia Pacific,Consumer,8,48.58,0.3,272.05,31.8,-27.0,5,No
ORD-5240,Fashion,Watches,Latin America,Corporate,9,80.95,0.1,655.7,42.42,59.04,5,No
ORD-5241,Office Supplies,Binders,North America,Corporate,1,16.47,0.1,14.82,9.09,-3.07,6,No
ORD-5242,Furniture,Sofas,Asia Pacific,Small Business,9,127.53,0.2,918.22,43.71,147.1,4,No
ORD-5243,Furniture,Chairs,Latin America,Consumer,5,273.4,0.05,1298.65,44.62,298.09,8,No
ORD-5244,Electronics,Accessories,North America,Small Business,2,116.7,0.0,233.4,13.58,65.53,4,No
ORD-5245,Furniture,Tables,Latin America,Consumer,4,175.21,0.3,490.59,21.31,-86.96,3,Yes
ORD-5246,Office Supplies,Storage,North America,Corporate,6,63.48,0.3,266.62,5.88,-33.09,5,No
ORD-5247,Office Supplies,Paper,North America,Corporate,6,53.77,0.05,306.49,32.88,21.75,7,No
ORD-5248,Electronics,Accessories,Latin America,Small Business,2,704.26,0.05,1338.09,33.01,255.12,9,No
ORD-5249,Electronics,Accessories,Latin America,Small Business,3,123.33,0.0,369.99,22.71,61.84,2,No
ORD-5250,Office Supplies,Binders,Latin America,Small Business,7,76.04,0.2,425.82,21.89,33.42,4,No
ORD-5251,Fashion,Watches,Latin America,Small Business,5,179.96,0.0,899.8,18.09,207.69,6,No
ORD-5252,Electronics,Smartphones,North America,Small Business,3,661.25,0.3,1388.62,12.22,89.68,8,No
ORD-5253,Fashion,Apparel,Asia Pacific,Consumer,2,131.76,0.15,223.99,32.31,-18.14,9,No
ORD-5254,Fashion,Footwear,Latin America,Corporate,4,117.43,0.3,328.8,30.9,-56.09,5,No
ORD-5255,Fashion,Bags,North America,Consumer,1,158.68,0.3,111.08,27.9,-4.73,5,No
