CustomerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,InternetService,OnlineSecurity,TechSupport,ContractType,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,CustomerSupportCalls,Churn
CUST-1023,Male,0,No,No,71,Yes,Fiber Optic,Yes,No,One Year,Yes,Bank Transfer,90.25,6397.73,0,No
CUST-1024,Female,0,Yes,Yes,21,No,Fiber Optic,No,Yes,Month-to-Month,No,Credit Card,105.06,2220.82,1,Yes
CUST-1025,Male,0,Yes,No,29,Yes,DSL,No,No,Month-to-Month,Yes,Electronic Check,76.5,2214.44,2,No
CUST-1026,Female,0,No,No,69,Yes,Fiber Optic,Yes,No,Month-to-Month,No,Electronic Check,87.71,6049.37,5,Yes
CUST-1027,Female,0,Yes,No,25,Yes,No,No,No,One Year,Yes,Mailed Check,29.11,710.55,5,No
CUST-1028,Female,0,Yes,No,65,Yes,DSL,No,No,Two Year,No,Mailed Check,64.8,4218.6,3,No
CUST-1029,Male,0,No,No,52,Yes,Fiber Optic,No,No,Month-to-Month,No,Bank Transfer,96.62,5021.93,1,Yes
CUST-1030,Male,0,No,No,66,Yes,No,No,No,One Year,Yes,Mailed Check,36.82,2419.11,1,Yes
CUST-1031,Male,0,No,No,10,Yes,No,No,No,Two Year,Yes,Credit Card,32.36,313.36,5,No
CUST-1032,Male,0,Yes,Yes,67,Yes,No,No,No,Month-to-Month,Yes,Credit Card,23.33,1561.7,4,No
CUST-1033,Female,0,No,No,65,Yes,No,No,No,One Year,Yes,Credit Card,31.25,2041.32,5,Yes
CUST-1034,Female,0,No,No,57,Yes,DSL,Yes,No,One Year,No,Electronic Check,63.46,3606.47,5,Yes
CUST-1035,Male,1,No,No,43,Yes,DSL,Yes,Yes,One Year,No,Electronic Check,81.42,3511.68,3,No
CUST-1036,Female,0,No,No,54,Yes,No,No,No,Two Year,Yes,Credit Card,25.49,1373.89,0,No
CUST-1037,Female,0,No,No,17,No,No,No,No,Month-to-Month,No,Electronic Check,22.1,372.84,3,Yes
CUST-1038,Female,0,Yes,No,42,Yes,DSL,No,No,One Year,Yes,Credit Card,60.48,2541.74,2,Yes
CUST-1039,Male,0,Yes,Yes,32,Yes,Fiber Optic,Yes,Yes,Month-to-Month,No,Electronic Check,99.1,3159.92,5,Yes
CUST-1040,Female,0,Yes,Yes,40,Yes,Fiber Optic,No,No,One Year,Yes,Electronic Check,99.8,4005.22,1,Yes
CUST-1041,Female,0,Yes,Yes,45,Yes,No,No,No,One Year,Yes,Bank Transfer,20.32,911.2,3,Yes
CUST-1042,Female,0,No,No,20,Yes,No,No,No,Two Year,No,Credit Card,31.62,645.43,4,Yes
CUST-1043,Male,0,Yes,No,58,Yes,DSL,No,No,Month-to-Month,No,Bank Transfer,64.55,3732.38,2,Yes
CUST-1044,Female,0,Yes,Yes,31,Yes,DSL,Yes,No,Two Year,No,Credit Card,79.82,2458.14,1,No
CUST-1045,Male,0,No,No,61,Yes,DSL,No,No,One Year,No,Bank Transfer,67.67,4117.09,5,Yes
CUST-1046,Male,0,Yes,Yes,28,Yes,DSL,No,Yes,Month-to-Month,No,Mailed Check,69.02,1924.65,5,Yes
CUST-1047,Female,1,Yes,No,17,Yes,DSL,Yes,Yes,Two Year,No,Credit Card,71.97,1217.12,0,No
CUST-1048,Female,1,Yes,No,63,Yes,No,No,No,Two Year,Yes,Mailed Check,23.73,1497.5,2,Yes
CUST-1049,Male,1,No,No,29,Yes,DSL,No,No,One Year,No,Bank Transfer,74.22,2134.79,5,Yes
CUST-1050,Male,0,No,No,11,Yes,Fiber Optic,Yes,Yes,Month-to-Month,No,Credit Card,102.23,1123.33,0,Yes
CUST-1051,Female,0,No,No,10,Yes,DSL,Yes,No,Month-to-Month,Yes,Mailed Check,82.71,840.17,0,Yes
CUST-1052,Female,0,No,No,57,Yes,No,No,No,One Year,No,Bank Transfer,32.51,1852.82,0,No
CUST-1053,Female,0,No,No,4,Yes,No,No,No,Two Year,Yes,Bank Transfer,34.41,148.16,1,No
CUST-1054,Female,0,Yes,No,63,No,DSL,No,No,One Year,No,Electronic Check,81.44,5123.91,5,Yes
CUST-1055,Female,0,Yes,No,12,Yes,DSL,Yes,No,Two Year,Yes,Credit Card,70.33,831.46,2,No
CUST-1056,Female,0,Yes,Yes,35,Yes,DSL,No,No,Month-to-Month,Yes,Mailed Check,77.74,2713.33,0,No
CUST-1057,Male,0,Yes,No,16,Yes,Fiber Optic,No,No,Two Year,No,Credit Card,105.87,1713.13,1,No
CUST-1058,Male,0,Yes,Yes,36,Yes,DSL,No,No,Month-to-Month,No,Bank Transfer,80.94,2917.04,5,Yes
CUST-1059,Male,0,No,No,45,Yes,No,No,No,One Year,No,Bank Transfer,41.74,1897.53,1,No
CUST-1060,Male,0,No,No,6,Yes,DSL,No,No,Two Year,Yes,Credit Card,84.12,489.77,4,Yes
CUST-1061,Male,0,No,No,13,Yes,DSL,Yes,Yes,One Year,Yes,Electronic Check,71.74,951.39,2,No
CUST-1062,Female,0,No,No,69,Yes,DSL,No,Yes,Two Year,Yes,Mailed Check,75.78,5245.66,1,No
CUST-1063,Female,0,Yes,No,22,Yes,Fiber Optic,Yes,No,Month-to-Month,No,Bank Transfer,94.37,2061.96,4,Yes
CUST-1064,Male,0,Yes,No,31,Yes,No,No,No,Month-to-Month,Yes,Credit Card,35.95,1112.83,5,Yes
CUST-1065,Female,0,Yes,Yes,57,No,No,No,No,One Year,No,Bank Transfer,31.42,1783.02,3,No
CUST-1066,Male,0,No,No,38,No,DSL,Yes,No,One Year,Yes,Electronic Check,82.77,3155.07,2,No
CUST-1067,Male,0,No,No,29,Yes,No,No,No,One Year,Yes,Electronic Check,42.59,1240.96,2,No
CUST-1068,Male,0,Yes,Yes,38,Yes,DSL,Yes,Yes,Month-to-Month,No,Bank Transfer,80.76,3059.16,3,No
CUST-1069,Female,0,No,No,15,Yes,Fiber Optic,Yes,Yes,Two Year,No,Bank Transfer,87.26,1304.68,2,No
CUST-1070,Female,0,No,No,49,Yes,DSL,Yes,Yes,One Year,Yes,Bank Transfer,82.88,4049.97,0,No
CUST-1071,Female,0,No,No,53,Yes,Fiber Optic,Yes,No,One Year,Yes,Electronic Check,90.87,4817.61,3,Yes
CUST-1072,Female,0,Yes,No,13,Yes,No,No,No,One Year,No,Electronic Check,37.26,473.07,3,No
CUST-1073,Female,1,No,No,70,No,No,No,No,One Year,Yes,Credit Card,26.9,1901.73,3,Yes
CUST-1074,Male,0,Yes,Yes,43,Yes,Fiber Optic,Yes,Yes,Two Year,Yes,Mailed Check,105.33,4518.51,1,No
CUST-1075,Male,0,Yes,Yes,70,Yes,Fiber Optic,Yes,Yes,Month-to-Month,Yes,Bank Transfer,104.75,7322.02,2,Yes
CUST-1076,Female,1,No,No,68,Yes,Fiber Optic,No,No,One Year,Yes,Credit Card,97.6,6654.62,0,No
CUST-1077,Female,0,Yes,Yes,62,Yes,DSL,Yes,No,Two Year,No,Electronic Check,82.48,5106.64,1,Yes
CUST-1078,Female,0,No,No,49,No,No,No,No,One Year,No,Credit Card,22.48,1109.59,5,No
CUST-1079,Male,0,Yes,No,44,Yes,DSL,No,Yes,One Year,No,Bank Transfer,76.63,3366.69,1,No
CUST-1080,Female,1,Yes,Yes,56,Yes,No,No,No,One Year,Yes,Electronic Check,34.66,1943.42,2,No
CUST-1081,Female,0,No,No,7,No,No,No,No,One Year,No,Electronic Check,34.45,229.66,5,Yes
CUST-1082,Male,0,No,No,15,Yes,No,No,No,Month-to-Month,No,Electronic Check,35.22,534.61,5,Yes
CUST-1083,Male,0,No,No,44,Yes,Fiber Optic,Yes,No,Month-to-Month,Yes,Electronic Check,87.29,3841.98,3,Yes
CUST-1084,Female,1,No,No,42,Yes,No,No,No,Two Year,Yes,Electronic Check,23.89,1013.56,0,No
CUST-1085,Female,0,No,No,63,Yes,DSL,No,Yes,Two Year,Yes,Bank Transfer,70.75,4448.58,5,No
CUST-1086,Female,1,No,No,8,Yes,DSL,Yes,Yes,One Year,No,Bank Transfer,63.0,503.9,3,Yes
CUST-1087,Female,0,Yes,No,10,Yes,No,No,No,Month-to-Month,No,Electronic Check,31.49,298.01,2,Yes
CUST-1088,Female,0,No,No,38,Yes,Fiber Optic,No,Yes,Two Year,No,Bank Transfer,87.2,3327.38,1,No
CUST-1089,Female,0,No,No,40,Yes,Fiber Optic,No,Yes,Month-to-Month,Yes,Mailed Check,107.65,4299.98,5,No
CUST-1090,Male,0,Yes,No,26,Yes,Fiber Optic,Yes,Yes,Two Year,No,Credit Card,103.86,2710.76,3,No
CUST-1091,Female,0,No,No,20,Yes,DSL,No,No,One Year,Yes,Bank Transfer,72.68,1446.02,3,Yes
CUST-1092,Female,0,Yes,Yes,65,Yes,No,No,No,Two Year,Yes,Credit Card,42.73,2780.32,1,No
CUST-1093,Female,0,Yes,No,14,Yes,DSL,Yes,Yes,Month-to-Month,Yes,Credit Card,84.77,1187.74,4,Yes
CUST-1094,Female,0,No,No,53,Yes,No,No,No,Two Year,Yes,Bank Transfer,21.65,1131.23,5,Yes
CUST-1095,Female,0,Yes,No,11,Yes,Fiber Optic,No,No,Two Year,No,Mailed Check,99.88,1116.2,2,No
CUST-1096,Female,0,Yes,No,66,Yes,DSL,No,Yes,Month-to-Month,No,Credit Card,64.8,4296.8,1,Yes
CUST-1097,Male,0,Yes,No,17,Yes,Fiber Optic,Yes,Yes,Two Year,Yes,Credit Card,86.09,1458.1,5,Yes
CUST-1098,Female,0,No,No,30,Yes,DSL,No,Yes,One Year,No,Credit Card,79.24,2388.32,4,No
CUST-1099,Male,0,Yes,No,7,Yes,DSL,Yes,Yes,One Year,Yes,Mailed Check,66.82,483.95,1,No
CUST-1100,Male,0,Yes,No,45,No,DSL,Yes,No,Two Year,No,Mailed Check,69.65,3117.51,1,Yes
CUST-1101,Male,0,No,No,19,Yes,DSL,No,Yes,Two Year,No,Credit Card,75.38,1448.45,0,No
CUST-1102,Male,0,No,No,15,Yes,Fiber Optic,No,Yes,Month-to-Month,Yes,Credit Card,100.97,1519.46,0,Yes
CUST-1103,Female,0,Yes,Yes,19,Yes,Fiber Optic,No,Yes,Two Year,No,Mailed Check,101.61,1914.01,2,Yes
CUST-1104,Male,0,No,No,6,Yes,DSL,No,Yes,One Year,Yes,Bank Transfer,66.03,402.46,0,No
CUST-1105,Female,1,No,No,70,Yes,No,No,No,Month-to-Month,No,Credit Card,35.79,2517.76,0,No
CUST-1106,Female,1,Yes,Yes,26,Yes,DSL,No,No,Two Year,No,Bank Transfer,60.92,1589.8,2,No
CUST-1107,Male,0,No,No,35,Yes,DSL,No,No,Two Year,No,Credit Card,68.48,2384.27,5,Yes
CUST-1108,Female,0,No,No,11,Yes,Fiber Optic,No,No,Month-to-Month,Yes,Bank Transfer,101.52,1108.98,4,Yes
CUST-1109,Male,0,No,No,58,Yes,DSL,No,No,Two Year,Yes,Electronic Check,76.78,4449.49,4,No
CUST-1110,Male,0,Yes,No,5,Yes,Fiber Optic,No,No,One Year,Yes,Mailed Check,101.98,527.85,2,Yes
CUST-1111,Male,0,No,No,51,Yes,DSL,Yes,Yes,Month-to-Month,Yes,Credit Card,72.94,3736.48,0,Yes
CUST-1112,Female,0,Yes,No,63,Yes,Fiber Optic,Yes,No,Month-to-Month,No,Electronic Check,105.26,6650.08,2,No
CUST-1113,Male,0,No,No,39,Yes,No,No,No,Two Year,Yes,Bank Transfer,32.72,1260.93,1,No
CUST-1114,Male,0,Yes,No,71,Yes,DSL,Yes,Yes,Month-to-Month,No,Credit Card,84.99,6043.04,4,Yes
CUST-1115,Female,0,Yes,Yes,41,Yes,DSL,No,No,Month-to-Month,Yes,Mailed Check,70.82,2920.05,0,No
CUST-1116,Male,0,Yes,No,29,Yes,No,No,No,One Year,Yes,Bank Transfer,24.91,740.64,2,Yes
CUST-1117,Female,0,Yes,Yes,20,Yes,No,No,No,Two Year,No,Electronic Check,40.63,793.73,0,No
CUST-1118,Female,0,No,No,4,Yes,No,No,No,Two Year,No,Bank Transfer,32.07,140.47,5,Yes
CUST-1119,Female,1,Yes,Yes,57,Yes,DSL,Yes,No,Two Year,Yes,Bank Transfer,81.54,4640.55,2,No
CUST-1120,Male,0,Yes,No,31,Yes,DSL,No,Yes,Month-to-Month,Yes,Electronic Check,67.26,2080.43,4,Yes
CUST-1121,Male,0,No,No,25,Yes,DSL,No,No,One Year,No,Electronic Check,62.25,1551.98,3,No
CUST-1122,Male,0,Yes,Yes,37,Yes,No,No,No,Two Year,No,Bank Transfer,33.42,1250.43,3,Yes
CUST-1123,Female,0,No,No,47,Yes,Fiber Optic,Yes,No,Two Year,No,Electronic Check,94.66,4447.03,4,Yes
CUST-1124,Male,1,Yes,No,48,Yes,DSL,No,Yes,Month-to-Month,No,Electronic Check,61.13,2919.72,2,No
CUST-1125,Female,1,Yes,No,41,Yes,No,No,No,Two Year,No,Bank Transfer,32.68,1340.27,3,No
CUST-1126,Female,0,Yes,No,43,Yes,DSL,No,Yes,Two Year,No,Bank Transfer,84.18,3631.06,4,No
CUST-1127,Male,0,Yes,No,19,Yes,Fiber Optic,Yes,Yes,Month-to-Month,Yes,Credit Card,92.84,1750.02,5,Yes
CUST-1128,Female,0,Yes,Yes,67,Yes,DSL,No,No,One Year,Yes,Credit Card,82.8,5541.29,2,No
CUST-1129,Female,0,Yes,Yes,36,Yes,Fiber Optic,No,No,Two Year,Yes,Credit Card,92.93,3339.43,5,Yes
CUST-1130,Male,0,No,No,51,Yes,Fiber Optic,No,Yes,One Year,Yes,Bank Transfer,108.1,5519.34,5,Yes
CUST-1131,Male,0,No,No,72,Yes,Fiber Optic,Yes,Yes,Month-to-Month,Yes,Mailed Check,100.95,7250.5,3,Yes
CUST-1132,Female,1,Yes,Yes,71,No,Fiber Optic,No,No,One Year,Yes,Bank Transfer,93.03,6610.97,0,No
CUST-1133,Male,0,Yes,Yes,54,Yes,Fiber Optic,Yes,No,One Year,Yes,Bank Transfer,106.92,5754.05,4,No
CUST-1134,Female,0,No,No,18,Yes,DSL,No,Yes,Month-to-Month,No,Mailed Check,78.28,1414.97,5,Yes
CUST-1135,Female,0,Yes,Yes,52,Yes,No,No,No,One Year,Yes,Credit Card,36.73,1897.35,1,No
CUST-1136,Male,1,No,No,31,Yes,DSL,No,No,Two Year,Yes,Bank Transfer,76.34,2374.25,0,No
CUST-1137,Female,0,No,No,65,No,No,No,No,One Year,Yes,Bank Transfer,29.19,1886.18,1,No
CUST-1138,Female,0,No,No,54,Yes,DSL,Yes,Yes,Two Year,Yes,Credit Card,73.2,3947.27,4,Yes
CUST-1139,Male,0,Yes,Yes,42,Yes,DSL,Yes,Yes,Two Year,No,Electronic Check,82.47,3461.56,0,No
CUST-1140,Female,0,Yes,No,40,Yes,DSL,No,Yes,Two Year,Yes,Electronic Check,61.13,2438.98,0,No
CUST-1141,Male,0,Yes,No,5,Yes,Fiber Optic,Yes,No,One Year,No,Credit Card,106.74,549.97,3,Yes
CUST-1142,Male,0,No,No,16,Yes,No,No,No,One Year,Yes,Mailed Check,40.87,664.17,2,No
CUST-1143,Female,0,Yes,Yes,59,Yes,DSL,Yes,Yes,Month-to-Month,No,Electronic Check,66.02,3877.87,4,Yes
CUST-1144,Male,0,Yes,No,57,Yes,Fiber Optic,Yes,Yes,Two Year,No,Mailed Check,105.39,6016.49,2,No
CUST-1145,Female,0,Yes,Yes,53,Yes,Fiber Optic,Yes,No,Two Year,No,Electronic Check,109.31,5811.09,5,Yes
CUST-1146,Female,0,No,No,20,Yes,Fiber Optic,No,Yes,Month-to-Month,No,Mailed Check,105.14,2119.39,4,Yes
CUST-1147,Female,0,Yes,No,32,Yes,DSL,Yes,No,One Year,Yes,Mailed Check,61.29,1956.37,4,No
CUST-1148,Male,0,Yes,No,27,Yes,DSL,No,Yes,Month-to-Month,Yes,Electronic Check,78.67,2134.26,1,No
CUST-1149,Male,0,Yes,No,37,Yes,No,No,No,Two Year,No,Bank Transfer,26.54,982.49,3,Yes
CUST-1150,Female,0,No,No,27,Yes,DSL,Yes,Yes,Two Year,Yes,Electronic Check,66.52,1813.43,4,No
CUST-1151,Female,1,No,No,30,Yes,Fiber Optic,No,No,One Year,No,Credit Card,96.52,2904.91,2,Yes
CUST-1152,Female,0,Yes,Yes,10,No,No,No,No,Month-to-Month,Yes,Credit Card,23.44,239.63,0,No
CUST-1153,Male,0,No,No,48,Yes,No,No,No,Two Year,No,Credit Card,20.39,980.01,3,Yes
CUST-1154,Female,0,No,No,3,Yes,No,No,No,Two Year,No,Mailed Check,22.68,51.89,1,Yes
CUST-1155,Female,0,No,No,51,Yes,DSL,No,Yes,Two Year,Yes,Bank Transfer,77.1,3946.01,5,No
CUST-1156,Male,1,No,No,49,Yes,Fiber Optic,Yes,Yes,Month-to-Month,No,Credit Card,101.12,4948.13,0,No
CUST-1157,Male,0,No,No,35,Yes,Fiber Optic,No,Yes,Month-to-Month,No,Electronic Check,109.04,3819.88,5,No
CUST-1158,Male,0,Yes,No,70,Yes,No,No,No,Month-to-Month,Yes,Bank Transfer,21.34,1491.28,0,Yes
CUST-1159,Female,0,No,No,4,Yes,DSL,No,Yes,One Year,No,Credit Card,64.64,262.0,3,Yes
CUST-1160,Female,0,Yes,Yes,35,Yes,No,No,No,Two Year,Yes,Credit Card,27.92,961.46,0,No
CUST-1161,Female,0,No,No,14,Yes,Fiber Optic,No,No,Two Year,No,Electronic Check,85.66,1193.4,0,No
CUST-1162,Female,0,Yes,No,53,Yes,Fiber Optic,Yes,Yes,Two Year,No,Mailed Check,88.47,4680.96,3,Yes
CUST-1163,Male,0,No,No,39,Yes,Fiber Optic,No,No,Month-to-Month,No,Mailed Check,96.45,3746.97,0,No
CUST-1164,Female,0,No,No,43,Yes,DSL,Yes,No,One Year,Yes,Credit Card,67.85,2936.13,2,No
CUST-1165,Female,0,Yes,No,49,Yes,DSL,No,Yes,Two Year,Yes,Mailed Check,77.04,3776.96,5,No
CUST-1166,Male,0,No,No,9,Yes,DSL,No,Yes,Two Year,No,Mailed Check,66.32,583.05,3,No
CUST-1167,Male,0,No,No,52,Yes,No,No,No,One Year,Yes,Bank Transfer,37.54,1964.57,4,No
CUST-1168,Male,1,Yes,No,22,Yes,Fiber Optic,No,No,One Year,Yes,Electronic Check,87.47,1913.22,5,Yes
CUST-1169,Male,0,No,No,60,Yes,No,No,No,Two Year,Yes,Bank Transfer,44.94,2695.71,2,No
CUST-1170,Male,1,Yes,No,40,Yes,Fiber Optic,No,No,One Year,Yes,Credit Card,103.05,4120.1,0,Yes
CUST-1171,Male,1,No,No,14,Yes,Fiber Optic,Yes,Yes,Two Year,Yes,Bank Transfer,99.0,1404.34,1,No
CUST-1172,Male,0,No,No,51,Yes,No,No,No,Month-to-Month,No,Credit Card,29.72,1523.91,1,Yes
CUST-1173,Male,0,Yes,No,42,Yes,Fiber Optic,No,No,Two Year,No,Credit Card,100.28,4215.24,2,No
CUST-1174,Female,0,No,No,11,Yes,DSL,Yes,Yes,One Year,Yes,Mailed Check,69.33,748.28,3,Yes
CUST-1175,Male,0,No,No,24,Yes,No,No,No,Two Year,Yes,Mailed Check,32.24,759.37,2,No
CUST-1176,Male,0,Yes,No,18,Yes,DSL,No,No,Two Year,No,Credit Card,77.75,1397.25,1,Yes
CUST-1177,Male,0,Yes,No,5,Yes,No,No,No,One Year,Yes,Credit Card,34.14,181.6,3,Yes
CUST-1178,Male,0,No,No,70,Yes,DSL,Yes,No,Two Year,Yes,Credit Card,62.56,4392.4,1,No
CUST-1179,Male,0,No,No,12,Yes,Fiber Optic,Yes,Yes,Two Year,No,Credit Card,89.15,1055.37,1,No
CUST-1180,Male,0,No,No,69,Yes,No,No,No,One Year,No,Bank Transfer,43.81,3023.47,5,No
CUST-1181,Male,0,No,No,8,No,No,No,No,Month-to-Month,Yes,Mailed Check,23.66,182.16,1,No
CUST-1182,Female,0,No,No,54,Yes,Fiber Optic,Yes,No,Two Year,No,Bank Transfer,96.37,5203.5,4,Yes
CUST-1183,Male,0,No,No,46,Yes,No,No,No,One Year,Yes,Credit Card,40.62,1868.31,2,No
CUST-1184,Female,0,Yes,No,44,Yes,Fiber Optic,Yes,Yes,Two Year,No,Electronic Check,88.11,3891.15,3,Yes
CUST-1185,Female,0,Yes,No,21,Yes,DSL,Yes,No,One Year,Yes,Bank Transfer,76.61,1614.77,0,No
CUST-1186,Female,0,Yes,No,12,Yes,Fiber Optic,Yes,No,Month-to-Month,Yes,Mailed Check,97.99,1173.68,0,No
CUST-1187,Male,0,No,No,17,Yes,Fiber Optic,No,Yes,Two Year,Yes,Electronic Check,92.83,1593.35,1,No
CUST-1188,Male,0,Yes,Yes,68,Yes,No,No,No,Two Year,Yes,Credit Card,28.78,1945.56,5,Yes
CUST-1189,Female,0,No,No,28,Yes,Fiber Optic,Yes,Yes,Two Year,No,Bank Transfer,109.08,3046.82,1,Yes
CUST-1190,Male,0,No,No,4,Yes,No,No,No,One Year,Yes,Mailed Check,38.7,146.62,0,No
CUST-1191,Male,0,Yes,Yes,64,Yes,Fiber Optic,Yes,No,One Year,Yes,Credit Card,106.52,6820.02,2,No
CUST-1192,Male,0,Yes,Yes,9,Yes,Fiber Optic,Yes,Yes,One Year,No,Credit Card,95.59,856.4,5,Yes
CUST-1193,Male,0,No,No,11,Yes,Fiber Optic,Yes,No,One Year,Yes,Bank Transfer,102.47,1136.37,1,Yes
CUST-1194,Male,0,Yes,No,8,Yes,No,No,No,Two Year,Yes,Electronic Check,20.32,148.05,0,Yes
CUST-1195,Female,0,No,No,22,Yes,No,No,No,One Year,Yes,Electronic Check,28.38,621.53,4,Yes
CUST-1196,Male,0,No,No,8,Yes,No,No,No,Month-to-Month,No,Mailed Check,26.38,195.16,4,Yes
CUST-1197,Male,0,Yes,Yes,2,Yes,DSL,No,No,Month-to-Month,Yes,Electronic Check,73.82,164.2,5,Yes
CUST-1198,Male,0,No,No,41,Yes,Fiber Optic,No,Yes,Two Year,Yes,Mailed Check,90.58,3714.41,0,No
CUST-1199,Male,0,No,No,40,Yes,No,No,No,One Year,Yes,Bank Transfer,25.02,1003.35,2,No
CUST-1200,Male,0,No,No,26,Yes,No,No,No,Month-to-Month,Yes,Electronic Check,43.31,1107.02,4,Yes
CUST-1201,Male,0,Yes,No,40,Yes,No,No,No,Month-to-Month,No,Credit Card,44.03,1780.1,1,No
CUST-1202,Male,1,Yes,No,48,Yes,No,No,No,Month-to-Month,Yes,Mailed Check,35.93,1720.41,4,Yes
CUST-1203,Female,0,Yes,Yes,38,Yes,DSL,No,No,One Year,No,Bank Transfer,65.84,2519.66,1,No
CUST-1204,Male,1,Yes,No,60,Yes,Fiber Optic,No,Yes,One Year,No,Credit Card,91.63,5482.6,1,No
CUST-1205,Female,0,Yes,Yes,42,Yes,No,No,No,Month-to-Month,No,Credit Card,32.84,1386.37,2,No
CUST-1206,Male,1,No,No,58,Yes,No,No,No,Month-to-Month,Yes,Credit Card,22.55,1319.65,0,Yes
CUST-1207,Male,1,No,No,48,Yes,No,No,No,Month-to-Month,No,Electronic Check,20.55,968.98,5,Yes
CUST-1208,Male,1,No,No,16,Yes,DSL,Yes,Yes,Two Year,No,Credit Card,72.4,1153.71,3,Yes
CUST-1209,Male,0,No,No,36,Yes,Fiber Optic,Yes,Yes,Two Year,No,Credit Card,95.3,3432.83,0,Yes
CUST-1210,Female,1,Yes,Yes,70,Yes,DSL,No,No,Two Year,No,Bank Transfer,82.82,5797.5,3,Yes
CUST-1211,Male,0,Yes,Yes,36,Yes,DSL,No,Yes,Month-to-Month,Yes,Mailed Check,76.42,2741.78,5,Yes
CUST-1212,Male,0,No,No,46,No,Fiber Optic,Yes,Yes,Two Year,No,Bank Transfer,107.85,4942.23,5,Yes
CUST-1213,Male,0,Yes,No,70,Yes,DSL,Yes,Yes,Month-to-Month,Yes,Mailed Check,60.5,4234.12,2,No
CUST-1214,Male,0,No,No,23,No,DSL,Yes,Yes,Month-to-Month,Yes,Electronic Check,81.16,1881.11,0,Yes
CUST-1215,Female,0,No,No,39,Yes,Fiber Optic,No,No,Two Year,No,Mailed Check,102.68,4007.0,4,No
CUST-1216,Male,0,Yes,No,40,Yes,DSL,Yes,Yes,Two Year,Yes,Credit Card,81.27,3261.63,4,Yes
CUST-1217,Female,0,Yes,Yes,64,Yes,No,No,No,Month-to-Month,Yes,Bank Transfer,44.56,2838.56,0,No
CUST-1218,Female,0,No,No,27,Yes,Fiber Optic,No,No,Month-to-Month,Yes,Electronic Check,94.65,2564.85,1,No
CUST-1219,Female,0,No,No,70,Yes,DSL,Yes,Yes,One Year,Yes,Electronic Check,67.37,4708.65,0,Yes
