PropertyID,SquareFootage,Bedrooms,Bathrooms,YearBuilt,GarageCars,NeighborhoodQuality,DistanceToDowntownMiles,HasPool,Renovated,SalePrice
PROP-2047,3437,4,3.0,2022,2,5,11.2,1,0,988300
PROP-2048,3287,4,4.0,1968,0,5,12.3,1,0,912300
PROP-2049,3413,6,4.5,1972,2,3,12.3,0,0,905700
PROP-2050,1691,3,2.8,1967,3,9,26.0,0,1,704700
PROP-2051,3760,6,4.5,1985,0,10,27.6,0,0,1123000
PROP-2052,1635,2,2.5,1961,3,1,22.9,0,0,372900
PROP-2053,2124,3,3.2,1979,1,3,12.2,0,1,614100
PROP-2054,2798,5,3.8,2018,0,2,11.2,0,0,738000
PROP-2055,3066,5,4.2,2021,1,1,18.1,0,0,784900
PROP-2056,4224,6,4.5,2005,1,4,7.4,1,0,1160900
PROP-2057,3064,5,3.8,1994,1,8,17.2,0,0,967800
PROP-2058,3337,5,4.2,1975,0,7,24.2,0,0,929000
PROP-2059,1091,1,1.8,1981,0,8,10.3,0,0,456700
PROP-2060,3992,6,4.5,1998,3,4,17.1,1,1,1176700
PROP-2061,3212,4,4.0,1990,0,3,9.4,0,0,835200
PROP-2062,2591,3,3.2,2015,3,8,5.9,0,0,896300
PROP-2063,1966,2,2.5,1999,1,6,24.7,0,0,572300
PROP-2064,3222,5,4.2,2020,0,6,25.9,0,0,918300
PROP-2065,4237,6,4.5,1965,1,10,26.2,1,0,1217000
PROP-2066,826,2,2.0,1976,2,8,17.1,0,0,470700
PROP-2067,957,2,1.5,1966,2,1,17.6,0,0,240900
PROP-2068,2450,3,2.8,1981,3,7,20.2,0,0,775800
PROP-2069,1265,2,2.0,1979,0,4,12.5,0,0,431000
PROP-2070,3690,6,5.5,1967,0,6,5.2,1,0,1097900
PROP-2071,1215,2,1.5,1983,3,5,26.1,0,1,460300
PROP-2072,3091,4,3.0,1968,2,3,26.3,0,1,755900
PROP-2073,2101,4,4.0,1994,3,5,5.7,0,0,726900
PROP-2074,3869,6,5.0,2013,3,8,22.7,0,0,1149100
PROP-2075,1087,1,1.0,1962,1,3,13.0,0,0,295800
PROP-2076,3942,5,4.2,2001,0,1,20.8,1,0,913700
PROP-2077,3103,4,4.0,1967,3,5,24.2,0,0,829400
PROP-2078,2599,5,4.2,1991,2,6,8.3,0,0,847000
PROP-2079,1913,2,2.5,1991,0,7,18.1,0,0,603400
PROP-2080,3759,6,5.0,2006,2,10,7.3,1,0,1243200
PROP-2081,1696,3,3.2,2011,0,5,9.9,0,0,603900
PROP-2082,3166,4,4.0,2004,1,9,14.0,0,1,1066200
PROP-2083,1561,1,1.8,1972,1,4,1.7,0,0,479300
PROP-2084,4428,6,4.5,1966,1,4,12.8,1,1,1175500
PROP-2085,1950,3,2.8,1962,2,4,20.7,0,0,558900
PROP-2086,933,1,1.0,2011,0,3,8.0,0,0,331700
PROP-2087,1290,2,1.5,1963,3,2,11.2,0,1,378100
PROP-2088,4043,6,5.0,1966,2,3,5.4,0,0,1051200
PROP-2089,1975,3,2.8,1999,0,2,17.4,0,1,554100
PROP-2090,1289,2,1.5,1964,3,9,3.3,0,1,589400
PROP-2091,1771,3,2.8,1962,2,4,21.1,0,1,580700
PROP-2092,1030,2,2.5,2020,0,6,20.1,0,0,434000
PROP-2093,4265,6,5.0,2023,0,7,13.0,1,0,1277500
PROP-2094,1288,2,2.0,1991,0,7,4.5,0,0,522500
PROP-2095,4212,6,5.5,2006,3,4,9.8,1,0,1216100
PROP-2096,1049,1,1.0,1997,1,1,9.8,0,0,265400
PROP-2097,2328,4,3.5,2013,3,8,25.1,1,0,844400
PROP-2098,2480,3,3.2,1965,0,2,2.4,0,0,599500
PROP-2099,2460,5,3.8,1966,1,10,5.3,0,0,877100
PROP-2100,1598,1,1.2,2010,0,7,26.8,0,0,490500
PROP-2101,3022,6,4.5,2012,3,9,21.2,1,0,1084900
PROP-2102,2472,5,3.8,2004,0,10,11.6,0,0,891100
PROP-2103,2946,3,2.8,2021,1,9,2.1,0,0,1000300
PROP-2104,4125,5,4.8,1974,2,8,5.4,1,1,1280900
PROP-2105,2470,4,3.0,2019,1,1,27.4,1,0,642000
PROP-2106,4372,6,5.5,2007,0,5,10.7,1,0,1186700
PROP-2107,2997,3,2.8,2019,0,5,11.8,1,0,886400
PROP-2108,2907,5,4.8,2013,3,6,3.1,0,0,997800
PROP-2109,3874,6,4.5,1970,3,5,10.9,1,0,1119000
PROP-2110,1598,2,1.5,1971,0,8,6.9,0,0,536100
PROP-2111,816,2,1.5,1977,2,9,24.0,0,1,446100
PROP-2112,1733,2,2.5,2021,3,4,1.7,0,0,669700
PROP-2113,1569,1,1.2,2023,3,2,17.4,0,0,467400
PROP-2114,2270,3,3.2,2021,1,1,24.5,1,0,621400
PROP-2115,3472,4,3.0,2007,2,6,10.0,0,0,1010500
PROP-2116,878,2,2.5,1964,1,10,24.3,0,0,464800
PROP-2117,2626,3,3.2,2021,1,5,11.5,0,0,827800
PROP-2118,3911,6,4.5,1988,0,1,2.0,1,1,1030100
PROP-2119,1394,3,2.8,1988,0,8,20.1,0,0,600300
PROP-2120,3069,6,5.0,2000,2,7,21.8,1,0,1044800
PROP-2121,3589,4,3.5,1972,3,3,5.2,1,0,965600
PROP-2122,1429,1,1.0,1964,1,4,25.7,0,1,366200
PROP-2123,2274,3,3.2,2019,3,2,6.2,1,0,712700
PROP-2124,928,1,1.0,1981,0,6,3.1,0,0,409900
PROP-2125,927,2,2.5,1974,1,4,17.0,0,0,311300
PROP-2126,2740,5,4.8,1964,3,4,12.6,1,0,837900
PROP-2127,3254,5,4.8,1996,2,5,5.4,1,0,1016400
PROP-2128,1778,3,3.2,2010,1,2,7.9,0,0,576100
PROP-2129,2640,3,2.8,1969,2,6,2.3,0,0,832300
PROP-2130,879,2,1.5,2008,3,10,23.4,0,0,503400
PROP-2131,1829,2,2.5,1991,3,1,11.7,0,1,493100
PROP-2132,1128,2,2.5,1975,0,10,23.2,0,0,520400
PROP-2133,3754,6,5.0,1978,2,8,12.4,0,0,1119800
PROP-2134,1652,2,1.5,1995,0,4,21.8,0,0,497400
PROP-2135,1204,3,3.2,1973,2,1,27.1,0,1,374700
PROP-2136,1391,2,2.5,1974,3,10,19.5,0,1,665900
PROP-2137,2594,3,3.2,2006,3,1,16.8,1,0,781700
PROP-2138,2332,3,2.2,1997,3,9,7.0,1,1,933300
PROP-2139,4064,6,5.0,1994,2,8,4.6,0,0,1224600
PROP-2140,1850,2,2.0,1994,0,4,7.1,0,0,525000
PROP-2141,2592,4,3.5,2017,0,10,26.9,1,0,917100
PROP-2142,3812,6,5.0,1971,1,7,27.5,1,0,1080100
PROP-2143,819,1,1.0,2014,3,6,7.6,0,0,475100
PROP-2144,936,1,1.2,2010,1,2,19.9,0,0,290400
PROP-2145,898,1,1.0,2011,2,5,12.3,0,0,411900
PROP-2146,2372,2,2.0,1996,0,1,8.9,1,0,597700
PROP-2147,2650,5,4.2,2008,2,9,8.1,1,0,1038800
PROP-2148,2410,3,2.2,1966,3,8,1.3,1,0,857100
PROP-2149,3884,5,4.8,2021,2,10,26.0,0,0,1210700
PROP-2150,901,1,1.8,1973,0,2,13.3,0,0,212000
PROP-2151,3858,6,4.5,1964,2,10,1.8,0,1,1229200
PROP-2152,4068,6,5.0,2014,3,5,7.4,1,0,1266800
PROP-2153,3461,6,5.0,2012,2,6,26.9,1,0,1070300
PROP-2154,3534,4,3.0,1989,2,4,26.0,0,0,869500
PROP-2155,2024,4,4.0,1983,3,7,28.0,0,1,719700
PROP-2156,3779,6,5.0,2018,1,2,28.3,1,0,985100
PROP-2157,3076,5,4.2,1979,2,9,14.7,0,0,1006800
PROP-2158,3044,5,4.8,2008,2,4,24.0,1,0,931600
PROP-2159,2712,5,4.2,2018,0,5,20.3,0,0,823100
PROP-2160,1572,1,1.2,2009,3,1,13.0,0,0,423400
PROP-2161,2246,3,3.2,1972,3,4,23.7,0,1,660800
PROP-2162,1308,2,1.5,2010,1,6,21.7,0,0,468100
PROP-2163,2360,3,2.8,1986,3,1,4.0,1,0,665900
PROP-2164,770,1,1.8,1990,2,3,14.2,0,0,288300
PROP-2165,1155,2,2.5,2010,3,10,27.5,0,0,589700
PROP-2166,4165,6,4.5,2002,0,10,26.4,0,1,1230400
PROP-2167,946,2,1.5,1974,0,2,23.5,0,0,195200
PROP-2168,2632,3,3.2,1993,2,10,18.3,1,0,948500
PROP-2169,4253,6,4.5,1966,1,4,15.7,1,0,1106900
PROP-2170,3880,6,5.5,2011,3,3,6.6,0,0,1080600
PROP-2171,1051,1,1.2,1993,0,8,19.7,0,0,403000
PROP-2172,3322,5,4.2,2000,3,2,17.7,1,1,943900
PROP-2173,2922,5,3.8,1977,0,7,7.0,1,0,912900
PROP-2174,2718,4,3.0,1988,0,3,6.4,1,1,793900
PROP-2175,3321,5,4.8,1990,3,9,6.4,0,0,1150100
PROP-2176,2529,4,3.0,1991,1,4,22.5,0,0,698000
PROP-2177,3757,5,4.8,1982,2,3,22.7,0,0,929200
PROP-2178,2610,3,2.2,2008,1,8,17.1,0,0,800800
PROP-2179,3308,6,5.0,1981,1,6,6.3,0,0,999600
PROP-2180,1890,2,2.5,2014,3,9,4.3,0,0,820700
PROP-2181,4370,6,4.5,1999,1,4,2.5,1,0,1183100
PROP-2182,2796,4,3.0,2002,2,6,17.4,0,0,834600
PROP-2183,3907,6,5.0,1981,3,9,14.3,0,1,1223300
PROP-2184,1372,1,1.8,1994,3,4,14.0,0,1,498300
PROP-2185,1481,3,2.8,2010,0,4,5.2,0,0,526900
PROP-2186,2942,3,2.2,2000,2,10,17.3,0,0,956100
PROP-2187,1681,3,2.8,1985,2,8,24.5,0,1,632200
PROP-2188,3385,4,3.5,2017,2,2,3.2,0,0,933600
PROP-2189,1637,2,2.0,1961,1,9,12.8,0,0,580500
PROP-2190,4284,6,4.5,1973,1,6,27.1,1,0,1141400
PROP-2191,1590,1,1.0,1961,0,6,12.1,0,1,482000
PROP-2192,1348,3,2.2,1992,1,9,13.9,0,0,578700
PROP-2193,4184,5,3.8,1965,3,9,15.5,1,0,1228100
PROP-2194,2196,3,3.2,2004,1,3,1.3,0,1,717800
PROP-2195,1012,2,2.0,1962,2,3,16.1,0,1,342400
PROP-2196,3684,5,4.2,2015,1,7,10.1,1,0,1109600
PROP-2197,3745,6,5.0,2005,2,2,19.9,1,0,1044300
PROP-2198,882,2,1.5,1998,2,3,4.7,0,0,364200
PROP-2199,1601,3,2.2,1961,1,7,1.5,0,0,611700
PROP-2200,1378,3,3.2,1989,0,4,19.5,0,0,461700
PROP-2201,4342,6,5.0,1985,3,6,23.2,0,0,1175300
PROP-2202,3044,4,4.0,1974,3,7,7.2,0,0,941800
PROP-2203,2496,5,4.2,2020,2,1,8.0,0,0,736700
PROP-2204,1785,1,1.0,2009,0,7,11.9,0,0,596500
PROP-2205,3126,5,3.8,1963,2,5,22.7,1,1,883100
PROP-2206,2756,4,3.5,1978,3,3,15.3,0,1,803600
PROP-2207,1237,2,1.5,2000,0,10,27.5,0,0,495600
PROP-2208,1154,2,2.5,1984,0,6,24.0,0,0,397400
PROP-2209,2275,2,2.5,1991,1,3,19.2,0,0,560700
PROP-2210,1540,2,2.5,2016,2,4,10.8,0,0,581300
PROP-2211,1860,4,3.0,1999,3,7,6.0,0,1,780000
PROP-2212,2241,2,1.5,1971,0,6,22.4,0,1,595700
PROP-2213,3559,5,3.8,2019,3,9,16.3,1,0,1179800
PROP-2214,2573,4,4.0,1962,1,1,8.2,0,0,645800
PROP-2215,2935,5,3.8,2020,0,9,13.0,0,0,990200
PROP-2216,4440,6,4.5,1988,2,6,27.4,0,0,1138100
PROP-2217,2242,4,3.0,1965,2,6,16.6,0,0,646500
PROP-2218,1111,1,1.8,1984,3,10,23.0,0,1,534100
PROP-2219,3652,6,5.0,2019,3,3,13.3,1,0,1076100
PROP-2220,1109,1,1.0,2005,3,1,23.0,0,0,267500
PROP-2221,1196,1,1.8,1981,1,2,22.4,0,1,314900
PROP-2222,2289,2,1.5,1985,2,8,13.0,0,1,729900
PROP-2223,2829,5,4.8,1989,0,8,8.9,0,0,931100
PROP-2224,3093,6,5.5,2021,1,8,4.1,0,0,1051700
PROP-2225,2094,4,3.5,1966,1,4,15.4,0,0,584300
PROP-2226,2194,2,2.5,2006,3,9,19.0,0,0,779400
PROP-2227,2986,4,3.0,2019,3,4,2.6,0,0,879900
PROP-2228,2676,3,2.8,1996,2,5,9.7,0,0,774900
PROP-2229,1784,2,2.0,1974,0,8,12.2,0,0,612300
PROP-2230,2329,4,3.5,1996,1,5,22.2,0,0,709900
PROP-2231,1196,2,2.0,1963,2,4,10.5,0,0,365300
PROP-2232,2862,4,4.0,1966,3,10,20.4,0,0,942900
PROP-2233,2823,4,3.5,2024,1,8,10.2,0,0,944600
PROP-2234,2703,5,4.2,1987,2,1,14.5,0,1,730700
PROP-2235,2563,5,4.8,1972,3,8,27.3,1,0,878000
PROP-2236,3443,4,4.0,1960,3,9,15.8,0,1,1050700
PROP-2237,1531,1,1.8,2024,2,5,1.6,0,0,601900
PROP-2238,3157,6,5.0,1976,2,1,21.1,1,0,816800
PROP-2239,1316,3,2.8,2000,1,3,13.7,0,1,468600
PROP-2240,1236,2,2.5,2017,1,5,17.4,0,0,463400
PROP-2241,969,1,1.0,1976,1,5,14.4,0,1,343600
PROP-2242,4379,6,5.5,1991,2,6,11.3,0,0,1235400
PROP-2243,921,1,1.0,1965,3,2,14.0,0,1,284400
PROP-2244,3997,6,5.5,1995,3,7,4.2,1,0,1271200
PROP-2245,1771,3,3.2,1971,1,8,19.7,0,0,650000
PROP-2246,871,1,1.8,2011,0,3,5.8,0,0,342500
PROP-2247,1362,3,3.2,1990,0,6,11.7,0,1,538000
PROP-2248,3499,4,3.5,2007,2,6,23.3,1,0,991600
PROP-2249,2113,2,1.5,2012,1,6,12.9,0,0,634000
PROP-2250,2957,5,4.8,1999,1,4,18.8,0,0,838700
PROP-2251,1535,3,3.2,1967,2,7,2.2,0,0,619300
PROP-2252,2389,4,3.5,1978,3,10,1.7,0,1,918500
PROP-2253,1004,2,2.0,2007,2,1,12.1,0,0,311500
PROP-2254,2518,5,4.2,1963,0,6,19.7,1,1,803000
PROP-2255,3142,4,3.5,1999,0,8,13.1,0,1,977800
PROP-2256,1052,2,2.5,1984,1,4,17.3,0,0,386200
PROP-2257,4186,5,4.8,1980,3,10,5.2,1,1,1363100
PROP-2258,1459,2,1.5,1967,1,3,15.1,0,0,391800
PROP-2259,2570,5,4.2,1983,3,1,9.8,0,1,740900
PROP-2260,2572,3,3.2,1978,0,7,6.5,1,0,796400
PROP-2261,4152,6,5.5,1963,0,3,12.7,0,1,1042000
PROP-2262,2466,4,4.0,2001,1,5,14.6,1,0,815400
PROP-2263,4102,6,4.5,2014,2,8,5.4,0,0,1320000
PROP-2264,1474,2,2.0,1987,3,9,13.9,0,1,623300
PROP-2265,2776,5,4.8,1993,0,8,1.3,0,0,933500
PROP-2266,2626,3,2.8,1971,1,10,15.2,0,0,861800
PROP-2267,1377,3,2.8,1979,3,9,2.9,0,0,620200
PROP-2268,4410,6,5.5,1969,3,5,4.5,1,1,1271100
PROP-2269,4295,6,4.5,2014,0,6,11.8,0,0,1172300
PROP-2270,1574,1,1.8,2011,3,5,28.5,0,0,500500
PROP-2271,4313,6,5.0,1968,1,8,17.1,1,1,1265200
PROP-2272,1825,2,2.5,2006,1,6,19.6,0,0,625300
PROP-2273,1856,2,2.0,1962,0,10,17.7,0,0,623200
PROP-2274,830,2,2.0,1960,0,8,1.2,0,0,441900
PROP-2275,3715,6,5.0,2022,0,6,5.9,0,0,1090000
PROP-2276,974,1,1.2,1967,2,4,7.3,0,0,326600
PROP-2277,3121,5,4.8,2016,3,8,20.3,0,0,1029900
PROP-2278,969,1,1.0,1971,0,10,26.5,0,1,449700
PROP-2279,2670,3,2.2,2023,2,1,21.0,1,0,706100
PROP-2280,1933,4,3.5,1980,1,10,6.0,0,1,826100
PROP-2281,3513,4,4.0,2020,2,10,22.8,0,0,1088300
PROP-2282,3428,6,5.0,1989,3,6,17.4,0,0,1006000
PROP-2283,2016,3,2.2,2004,1,7,19.3,0,0,666900
PROP-2284,3406,4,3.0,1996,0,7,9.0,1,0,983400
PROP-2285,2555,4,3.0,2006,0,4,7.7,0,0,772900
PROP-2286,4306,6,5.0,2010,3,7,15.8,0,0,1247700
PROP-2287,4438,6,4.5,2000,2,8,22.1,0,0,1235700
PROP-2288,2237,4,3.5,2010,0,5,8.6,0,0,717200
PROP-2289,2861,3,2.2,2003,3,3,8.9,1,1,840500
PROP-2290,3063,6,5.5,2015,1,3,8.3,0,0,934500
PROP-2291,2049,2,2.0,1973,0,2,3.7,0,0,532200
PROP-2292,4029,6,4.5,1992,3,7,25.7,0,0,1120000
PROP-2293,3727,6,5.5,1988,1,2,7.8,0,0,967100
PROP-2294,4103,6,5.0,1985,2,9,1.4,0,0,1272100
PROP-2295,1355,3,2.8,1993,1,6,18.0,0,0,514300
PROP-2296,2121,3,2.8,1980,3,9,24.8,0,0,733000
PROP-2297,1327,1,1.2,2020,2,10,21.1,0,0,597800
PROP-2298,770,1,1.0,1991,3,2,14.4,0,0,293000
PROP-2299,1782,3,2.8,1983,0,5,12.9,0,0,534000
PROP-2300,4062,6,5.0,1978,1,7,13.4,0,0,1140300
PROP-2301,2812,5,4.8,2018,3,8,10.2,1,0,1006400
PROP-2302,3856,6,4.5,1990,2,1,4.4,0,0,983600
PROP-2303,3707,6,5.5,1987,3,1,20.1,0,0,934800
PROP-2304,1012,2,2.5,1986,2,7,25.7,0,0,428500
PROP-2305,861,1,1.0,1995,2,5,14.3,0,1,383400
PROP-2306,2417,3,2.2,2006,3,9,23.1,1,0,826700
PROP-2307,1291,3,2.2,1967,3,1,19.1,0,1,380700
PROP-2308,2044,2,1.5,2008,0,3,20.5,0,0,515900
PROP-2309,2591,5,4.2,1990,1,1,7.0,0,0,720100
PROP-2310,3680,6,4.5,2012,1,5,9.3,0,0,1016300
PROP-2311,2192,3,2.2,1968,0,3,18.3,0,1,546100
PROP-2312,4221,6,5.5,2022,0,7,12.6,1,0,1231100
PROP-2313,4362,6,5.0,2002,3,7,7.5,0,0,1274100
PROP-2314,867,1,1.8,1982,2,3,3.3,0,1,398100
PROP-2315,3464,6,5.5,2008,3,10,2.3,0,0,1249300
PROP-2316,2347,4,4.0,1999,1,9,14.9,1,0,858000
PROP-2317,2931,4,3.5,1964,2,3,2.4,1,1,838900
PROP-2318,2963,5,4.2,1971,1,4,21.6,0,1,775500
PROP-2319,2521,4,4.0,2015,2,3,22.7,0,0,720800
PROP-2320,1307,2,2.5,2003,1,8,5.1,0,0,577400
PROP-2321,2301,2,2.5,1991,1,1,15.0,0,0,543700
PROP-2322,1077,2,1.5,2012,1,9,7.4,0,0,584400
PROP-2323,1658,2,2.5,2004,2,8,7.8,0,0,700200
PROP-2324,1278,2,2.0,1964,0,5,10.2,0,1,488500
PROP-2325,2210,4,4.0,2020,1,1,26.9,0,0,585900
PROP-2326,4128,5,3.8,2004,3,1,9.7,1,1,1111100
PROP-2327,3876,6,4.5,2002,2,6,9.1,0,0,1136100
PROP-2328,3120,5,4.2,1964,2,2,4.0,0,0,798000
PROP-2329,4247,6,5.0,2013,2,7,24.9,0,0,1156300
PROP-2330,4328,6,5.0,1961,2,5,15.3,0,1,1142700
PROP-2331,3498,5,4.2,1989,1,3,20.6,0,1,898200
PROP-2332,3216,5,4.2,2019,3,1,1.5,0,0,894700
PROP-2333,4400,6,4.5,1993,2,10,24.1,0,1,1307900
PROP-2334,2749,4,3.0,2001,1,1,3.5,0,1,756000
PROP-2335,4270,6,5.5,1963,0,4,20.9,0,1,1069000
PROP-2336,1666,1,1.2,2014,0,6,25.5,0,0,482000
PROP-2337,2995,3,2.2,1962,0,6,23.5,1,1,802000
PROP-2338,2627,3,2.2,2017,3,3,15.2,0,0,716000
PROP-2339,2055,3,2.8,2015,2,8,20.2,0,0,704800
PROP-2340,2197,3,2.8,2003,2,6,1.9,0,1,766100
PROP-2341,4422,6,4.5,2009,1,10,20.6,1,0,1344800
PROP-2342,4335,6,4.5,1988,2,3,20.0,1,0,1125400
PROP-2343,4423,6,4.5,1967,3,9,18.8,0,0,1281700
PROP-2344,1144,1,1.8,1983,0,5,23.9,0,1,388200
PROP-2345,1959,4,3.5,2000,1,1,23.1,0,1,541300
PROP-2346,3333,5,4.8,1993,3,4,1.9,0,0,986000
PROP-2347,1979,2,1.5,2006,1,3,21.0,0,0,523000
PROP-2348,1915,3,2.2,1982,1,7,7.6,0,0,668100
PROP-2349,4003,5,4.8,1992,0,3,23.0,1,0,1029000
PROP-2350,3453,4,3.5,2021,2,10,16.7,0,0,1114200
PROP-2351,1906,3,3.2,1992,0,3,23.1,0,0,524200
PROP-2352,2415,3,2.2,1971,0,4,23.0,0,0,574800
PROP-2353,1705,2,2.5,2006,3,2,6.7,0,0,517700
PROP-2354,2521,5,3.8,2019,3,9,12.6,1,0,974700
PROP-2355,1729,2,1.5,1974,0,3,1.9,0,1,528400
PROP-2356,1584,3,2.2,1988,0,2,9.1,0,0,460100
PROP-2357,3045,4,3.0,1966,0,10,11.6,0,0,941400
PROP-2358,3094,4,4.0,1964,1,2,19.5,1,1,799300
PROP-2359,3050,6,5.5,1986,0,8,27.4,1,0,982700
PROP-2360,970,1,1.8,1968,3,2,1.5,0,0,333100
PROP-2361,3579,6,5.5,1971,0,9,22.9,0,1,1085100
PROP-2362,1729,3,2.2,1980,0,4,8.6,0,0,514600
PROP-2363,3176,5,4.2,1963,3,2,8.2,0,0,818800
PROP-2364,2781,4,3.5,1979,2,8,5.4,1,1,1006300
PROP-2365,3807,5,3.8,2010,0,4,19.3,0,0,959400
PROP-2366,3421,6,5.5,1967,2,8,27.9,0,0,1014400
PROP-2367,3861,6,5.5,2008,1,1,12.8,0,0,1002300
PROP-2368,3238,5,4.2,2010,3,10,7.9,0,0,1135400
PROP-2369,3886,5,3.8,2019,0,1,14.7,0,0,909500
PROP-2370,3950,5,4.8,2023,0,5,19.1,0,0,1093700
PROP-2371,1560,1,1.0,1987,2,4,24.3,0,0,386000
PROP-2372,3937,6,5.0,1996,1,10,25.1,1,0,1240000
PROP-2373,3206,6,4.5,2023,1,3,15.5,0,0,938100
PROP-2374,1329,3,2.8,2003,2,6,9.8,0,0,554000
PROP-2375,1616,3,2.2,2013,0,4,26.3,0,0,464000
PROP-2376,3826,5,4.2,2023,1,9,20.6,1,0,1182300
PROP-2377,4346,6,5.5,1984,1,4,15.7,1,0,1135600
PROP-2378,2875,4,3.5,2013,2,9,13.0,0,0,986400
PROP-2379,3665,6,4.5,2010,1,8,22.1,1,0,1119000
PROP-2380,2113,3,2.2,2016,3,7,2.2,0,0,799300
PROP-2381,1815,3,3.2,1998,0,9,4.0,0,0,730400
PROP-2382,2264,3,2.2,1974,2,4,20.4,0,1,666200
PROP-2383,2957,4,3.0,1973,2,7,26.2,0,0,850300
PROP-2384,1431,2,2.5,1962,2,6,10.5,0,0,530500
PROP-2385,2302,3,2.8,1982,3,9,27.7,0,0,810600
PROP-2386,4213,6,5.0,2017,0,5,23.2,1,0,1119800
PROP-2387,4343,6,5.0,2000,2,6,24.3,0,0,1168000
PROP-2388,778,1,1.0,2012,1,3,14.8,0,0,294800
PROP-2389,1363,1,1.8,2008,3,5,20.0,0,0,477700
PROP-2390,3726,6,5.5,1986,3,9,7.5,0,0,1184200
PROP-2391,976,2,2.0,2017,0,10,6.5,0,0,611400
PROP-2392,3099,4,3.5,2006,0,9,4.3,1,0,1043300
PROP-2393,4041,6,5.0,1962,1,5,23.5,0,0,1038100
PROP-2394,2690,4,3.0,1961,3,3,23.3,0,1,737000
PROP-2395,3456,6,5.0,1975,2,3,17.4,0,1,941300
PROP-2396,2098,3,2.2,1970,3,6,24.3,0,1,634300
PROP-2397,2154,2,2.5,1960,0,2,12.5,0,0,527800
PROP-2398,3692,5,4.8,2017,1,5,9.6,0,0,1029500
PROP-2399,3957,6,5.5,2000,1,4,9.7,1,0,1125400
PROP-2400,1414,2,2.0,2022,0,1,2.6,0,0,442900
PROP-2401,2572,3,2.8,1973,1,10,8.9,0,0,896100
PROP-2402,1730,1,1.2,1998,2,2,20.3,0,0,418300
PROP-2403,1461,3,3.2,1991,2,6,22.3,0,0,580800
PROP-2404,1577,3,2.2,2021,1,9,23.3,0,0,619300
